"","lat","long","pika.pres","marmot.pres","talus.area","elev.m","group"
"215",39,-106.169788,"Present","Present",">5 ha",3470.85,"both.spp.present"
"216",40.257927,-105.811424,"Absent","Absent","<1000m2",2622.27,"both.spp.absent"
"217",40.55562,-105.81366,"Present","Absent",">1 ha",3039.83,"pikas.only"
"218",39.72449,-105.8958,"Present","Present","5001-10,000m2",3657.61,"both.spp.present"
"219",40.4431,-105.89007,"Present","Absent","5001-10,000m2",3450.91,"pikas.only"
"220",39.78049,-105.88754,"Absent","Absent","<1000m2",3719.53,"both.spp.absent"
"221",38.85699,-105.07076,"Absent","Absent","5001-10,000m2",3839.09,"both.spp.absent"
"222",40.257927,-105.811424,"Absent","Absent","<1000m2",2622.27,"both.spp.absent"
"223",39.33916,-106.00927,"Present","Absent","5001-10,000m2",4148.45,"pikas.only"
"224",40.0947,-105.58484,"Present","Absent",">1 ha",3426.72,"pikas.only"
"226",40.19214,-105.63017,"Present","Absent",">1 ha",3244.63,"pikas.only"
"228",39.16778,-106.47531,"Present","Absent","5001-10,000m2",3446.96,"pikas.only"
"229",39.75745,-105.8824,"Present","Absent","1001-5000m2",3820.78,"pikas.only"
"230",39.56649,-105.72291,"Absent","Absent","5001-10,000m2",3332.56,"both.spp.absent"
"231",39.38237,-106.12854,"Present","Present",">5 ha",3744.78,"both.spp.present"
"232",38.875802,-105.072601,"Present","Absent","5001-10,000m2",3489.85,"pikas.only"
"233",40.19341,-105.63192,"Present","Absent","5001-10,000m2",3148.03,"pikas.only"
"234",39.3819,-106.12695,"Present","Present",">1 ha",3743.23,"both.spp.present"
"235",39.202154,-106.149909,"Present","Absent","5001-10,000m2",3592.03,"pikas.only"
"236",40.25784,-105.81137,"Absent","Present","<1000m2",2621.39,"marmots.only"
"237",40.09398,-105.58441,"Present","Absent","<1000m2",3412.85,"pikas.only"
"238",40.48023,-105.65352,"Absent","Absent","5001-10,000m2",3809.41,"both.spp.absent"
"240",40.09558,-105.58491,"Present","Present","5001-10,000m2",3431.1,"both.spp.present"
"241",38.875802,-105.072601,"Present","Absent","<1000m2",3489.85,"pikas.only"
"242",39.35782,-105.39025,"Present","Present","5001-10,000m2",2441.32,"both.spp.present"
"243",40.43357,-105.74467,"Absent","Absent","1001-5000m2",3517.53,"both.spp.absent"
"244",39.43865,-105.50384,"Present","Absent","<1000m2",2745.47,"pikas.only"
"245",39.16702,-106.47404,"Absent","Absent","<1000m2",3432.18,"both.spp.absent"
"246",39.59558,-105.6504,"Present","Present","<1000m2",3950.73,"both.spp.present"
"247",40.43352,-105.74483,"Absent","Absent","<1000m2",3521.5,"both.spp.absent"
"248",40.09472,-105.58482,"Present","Absent",">1 ha",3426.72,"pikas.only"
"249",39.36439,-106.21368,"Present","Absent",">1 ha",3440.35,"pikas.only"
"250",39.16774,-106.4761,"Present","Absent","1001-5000m2",3432.31,"pikas.only"
"251",39.7309,-105.84043,"Present","Absent","1001-5000m2",3922.04,"pikas.only"
"252",39.70842,-105.35664,"Absent","Absent","5001-10,000m2",2347.72,"both.spp.absent"
"253",39.36431,-106.21342,"Present","Absent","1001-5000m2",3445.51,"pikas.only"
"254",39.36453,-106.21315,"Present","Absent","<1000m2",3448.54,"pikas.only"
"255",39.566326,-105.722744,"Absent","Absent","5001-10,000m2",3331.86,"both.spp.absent"
